Année,Vainqueur / Finale,Score,Vainqueur 3e place,3e place,Pays organisateur
2021,Sénégal - Egypte,0-0 ap, 4 pen. à 2,Cameroun,Cameroun
2019,Algérie - Sénégal,1-0,Nigéria,Egypte
2017,Cameroun - Egypte,2-1,Burkina Faso,Ghana
2015,Côte d'Ivoire - Ghana,0-0 ap, 9 pen. à 8,RD Congo,Guinée Equ.
2013,Nigeria - Burkina Faso,1-0,Mali,Afrique du Sud
2012,Zambie - Côte d'Ivoire,0-0 ap, 8 pen. à 7,Mali,Guinée Equ. - Gabon
2010,Egypte - Ghana,1-0,Nigeria,Angola
2008,Egypte - Cameroun,1-0,Ghana,Ghana
2006,Egypte - Côte d'Ivoire,0-0 ap, 4 pen. à 2,Nigeria,Egypte
2004,Tunisie - Maroc,2-1,Nigeria,Tunisie
2002,Cameroun - Sénégal,0-0 ap, 3 pen. à 2,Nigeria,Mali
2000,Cameroun - Nigeria,2-2 ap, 4 pen. à 3,Afrique du Sud,Ghana - Nigeria
1998,Egypte - Afrique du Sud,2-0,Congo,Burkina Faso
1996,Afrique du Sud - Tunisie,2-0,Zambie,Afrique du Sud
1994,Nigeria - Zambie,2-1,Côte d'Ivoire,Tunisie
1992,Côte d'Ivoire - Ghana,0-0 ap, 11 pen. à 10,Nigeria,Sénégal
1990,Algérie - Nigeria,1-0,Zambie,Algérie
1988,Cameroun - Nigeria,1-0,Algérie,Maroc
1986,Egypte - Cameroun,0-0 ap, 5 pen. à 4,Côte d'Ivoire,Egypte
1984,Cameroun - Nigeria,3-1,Algérie,Côte d'Ivoire
1982,Ghana - Libye,1-1 ap, 7 pen. à 6,Zambie,Nigeria
1980,Nigeria - Algérie,3-0,Maroc,Nigeria
1978,Ghana - Ouganda,2-0,Nigeria,Ghana
1976,Maroc - Guinée,Poule de 4,Nigeria,Ethiopie
1974,RD Congo (Zaire) - Zambie,2-0,Egypte,Egypte
1972,Congo - Mali,3-2,Cameroun,Cameroun
1970,Soudan - Ghana,1-0,Rép. Arabe unie,Soudan
1968,RD Congo (Congo Kinshasa) - Ghana,1-0,Côte d'Ivoire,Ethiopie
1965,Ghana - Tunisie,3-2 ap,Côte d'Ivoire,Tunisie
1963,Ghana - Sousan,3-0,Rép. Arabe unie,Ghana
1962,Ethiopie - Rép. Arabe Unie,4-2 ap,Tunisie,Ethiopie
1959,Egypte - Soudan,2-1,Ethiopie,Rép. Arabe Unie
1957,Egypte - Ethiopie,4-0,Soudan,Soudan

